nom;lat;lon
34307;43.709725111;3.9935767
34309;43.684740378;3.928709476
34310;43.413368386;3.157422489
34311;43.442826523;3.373275285
34312;43.655882335;3.150979613
34313;43.57284507;3.486623562
34316;43.728414026;3.399350225
34318;43.829215492;3.95070599
34319;43.554682353;3.299761566
34320;43.663822562;3.728419549
34322;43.801874888;3.862306734
34323;43.600088405;3.300204035
34325;43.419355088;3.3612881850000003
34327;43.660692335;3.962638292
34328;43.578899945;3.562975138
34329;43.258164596;3.227078708
34332;43.313064786;3.399143783
34333;43.486303311;3.803940534
34336;43.317205211;3.28983071
34337;43.525810248;3.858234121
34339;43.382209463;2.911374465
34341;43.500566166;3.593696557
66008;42.535086357;3.024219184
66011;42.607759972;2.8890972660000003
66014;42.745702722;2.805480492
66015;42.565095483;2.866586528
66028;42.679355887;2.945592766
66030;42.748102148;2.756149788
66037;42.683900311;3.010904692
66039;42.736752336;2.559979595
66041;42.78749888;2.778069024
66049;42.474295793;2.752604425
66050;42.763894047;2.944971914
66053;42.513007685;3.072648992
66056;42.660067196;2.682601035
66059;42.622816853;2.951781414
66069;42.796680046;2.822094634
66071;42.767942954;2.707112915
66084;42.584875828;2.777704947
66088;42.677217127;2.616211994
66096;42.770524555;2.651755257
66107;42.815401378;2.61294475
66108;42.699215168;2.6899280560000003
66111;42.699677059;2.565574856
66115;42.518709229;2.873298738
66118;42.741507079;2.687378985
66127;42.880114648;2.8579725700000003
66134;42.565402382;2.804985522
66136;42.696441301;2.898977872
66140;42.705317875;2.764567484
66141;42.749126766;2.9148361840000003
66144;42.637486625;2.872869187
66145;42.6327704;2.826257004
66158;42.77465342;2.5953970550000003
66164;42.778933018;2.8768525250000003
66172;42.715136713;2.846241691
66175;42.549661152;2.919923135
66176;42.806937748;2.973470763
66177;42.585848942;2.864649426
66178;42.515467837;2.794654635
66180;42.794219656;3.00185226
66184;42.784898741;2.478479816
66186;42.662467385;2.986447836
66187;42.820703118;2.507417036
66189;42.657183121;2.948547617
66190;42.83721445;2.915869951
66195;42.677544713;2.795013918
66196;42.499716442;2.9809151160000003
66205;42.813576204;2.719362559
66207;42.602755615;2.759839983
66210;42.643305566;2.758581736
66212;42.753861373;3.008502245
66214;42.555916091;2.837789628
66215;42.709359491;2.508987116
66217;42.606423197;2.820057575
66227;42.639843299;2.910519202
66230;42.643618709;2.523091541
